Tissue	Module	Size	Layer	Parent	Hub	Function	Enrichment of aging-upregulated genes	Enrichment of aging-downregulated genes
Adipose	M554	12	4	M161	LOC401115,DNASE2,NANOS3	NA	NA	NA
Adipose	M567	19	4	M170	GCOM1	NEGATIVE_REGULATION_OF_INSULIN_SECRETION	NA	NA
Adipose	M569	18	4	M172	PMEPA1	NA	NA	NA
Adipose	M573	19	4	M173	MRAP,AQP11	NA	NA	NA
Adipose	M574	35	4	M174	GPAM	REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	NA	NA
Adipose	M580	62	4	M177	LOC100130980,LOC648249,LOC387867,LOC401537	COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	NA	NA
Adipose	M581	24	4	M177	LOC441013,LOC286444,RPS2	COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	NA	NA
Adipose	M582	84	4	M177	LOC643863,LOC441246,LOC642250	COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	NA	NA
Adipose	M583	25	4	M177	RPS15A,LOC389404	COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	NA	NA
Adipose	M585	26	4	M177	LOC728139,LOC644511	NA	NA	NA
Adipose	M586	19	4	M177	LOC651198	MITOCHONDRIAL_TRANSLATIONAL_TERMINATION	NA	NA
Adipose	M588	22	4	M178	HNRPA1P4,LOC729102	NA	NA	NA
Adipose	M590	13	4	M178	LOC648294	NA	NA	NA
Adipose	M591	10	4	M178	YTHDC1	NA	NA	NA
Adipose	M593	13	4	M178	ELTD1	NA	NA	NA
Adipose	M594	116	4	M180	FNDC3A,MEX3C,LOC100131261,PSIP1,FCHO2,UBQLN2,RECK	NA	NA	NA
Adipose	M596	76	4	M182	SF3B2,TMEM55B,CASC3,KEAP1	RNA_SPLICING	NA	NA
Adipose	M608	12	4	M186	CD248	NA	NA	NA
Adipose	M609	11	4	M186	TRIM26	NA	NA	NA
Adipose	M611	25	4	M187	SENP7,ZRANB2,PHIP	NA	NA	NA
Adipose	M613	123	4	M188	UQCRHL,SDHD,COX7B,DLD,UQCRC2,NDUFAB1,LOC729769,ACADM	AEROBIC_RESPIRATION	NA	NA
Adipose	M614	26	4	M188	EFEMP1,FHL1	NA	NA	NA
Adipose	M615	12	4	M188	SQSTM1	NA	NA	NA
Adipose	M618	30	4	M189	PSAP	CERAMIDE_TRANSPORT	NA	NA
Adipose	M620	89	4	M190	HMBS,MRPS12,TUBG1	TRANSLATIONAL_TERMINATION	NA	NA
Adipose	M622	11	4	M191	GPX1	NA	NA	NA
Adipose	M623	44	4	M191	ENO1,AP2S1,ANXA5	REGULATION_OF_APOPTOTIC_SIGNALING_PATHWAY	NA	NA
Adipose	M624	16	4	M191	ACTR1A	NA	NA	NA
Adipose	M626	16	4	M192	RTN3	NA	NA	NA
Adipose	M627	22	4	M192	ALDH9A1	NA	NA	NA
Adipose	M629	51	4	M193	COQ9,SDHB	ENERGY_DERIVATION_BY_OXIDATION_OF_ORGANIC_COMPOUNDS	NA	0.000343117834416541
Adipose	M630	35	4	M194	ACLY,ELOVL6	STEROL_BIOSYNTHETIC_PROCESS	NA	NA
Adipose	M633	23	4	M195	COX8A,ECH1	ATP_SYNTHESIS_COUPLED_ELECTRON_TRANSPORT	NA	NA
Adipose	M634	30	4	M196	ATP5A1	IRON_SULFUR_CLUSTER_ASSEMBLY	NA	NA
Adipose	M638	15	4	M198	ISOC2,BRP44	RESPONSE_TO_IRON_ION	NA	NA
Adipose	M639	13	4	M198	APOO	NA	NA	NA
Adipose	M641	21	4	M200	DHDDS,KIAA0427	NA	NA	NA
Adipose	M642	11	4	M201	TUBB2C	NA	NA	NA
Adipose	M643	16	4	M201	SURF4	CAMERA_TYPE_EYE_MORPHOGENESIS	NA	NA
Adipose	M645	25	4	M202	DAG1,CYBASC3	NA	NA	NA
Adipose	M646	35	4	M211	CCNC,UBE1DC1	NA	NA	NA
Adipose	M647	108	4	M211	GNG12,MDFIC,KIF5B,NEK7,XPOT,CLINT1,TMEM168	NA	NA	NA
Adipose	M648	38	4	M211	CASC4,NCKAP1	NA	NA	NA
Adipose	M649	18	4	M211	TRAM1	NA	NA	NA
Adipose	M650	84	4	M217	MFSD3,POP5,ANAPC11,LOC100133328	NA	NA	NA
Adipose	M655	33	4	M224	UNC84A,MYO9A	CEREBRAL_CORTEX_DEVELOPMENT	NA	NA
Adipose	M658	96	4	M230	CCNT2,GABPA,CSNK1G3	MAINTENANCE_OF_PROTEIN_LOCATION_IN_NUCLEUS	NA	NA
Adipose	M661	19	4	M231	CNOT7,HERC4,PAPD4	NA	NA	NA
Adipose	M665	23	5	M236	TUBB1,RGS18	ANTIMICROBIAL_HUMORAL_RESPONSE	NA	NA
Adipose	M668	15	5	M237	SLC12A9,DEDD2	NA	NA	NA
Adipose	M675	10	5	M247	CCL3L3	NA	NA	NA
Adipose	M700	23	5	M267	SMS,LOC642590	REGULATION_OF_TYPE_I_INTERFERON_MEDIATED_SIGNALING_PATHWAY	NA	NA
Adipose	M706	53	5	M291	LOC100133565,LOC441763,LOC100008589	NA	NA	NA
Adipose	M709	81	5	M292	LOC100132247,LOC728888,LOC440353,LOC644931	NA	NA	NA
Adipose	M712	20	5	M293	SLC9A4	NA	NA	NA
Adipose	M713	58	5	M294	RBM42,FLJ20489,LTBR	NA	NA	NA
Adipose	M714	27	5	M294	KPNA6	NA	NA	NA
Adipose	M715	14	5	M294	CLPTM1,ATP5D	NA	NA	NA
Adipose	M716	13	5	M294	SMG7	NA	NA	NA
Adipose	M717	10	5	M295	LOC440341,LOC440348	NA	NA	NA
Adipose	M718	34	5	M295	COQ10B,PREI3	NA	NA	NA
Adipose	M719	18	5	M296	LOC407835	NA	NA	NA
Adipose	M720	57	5	M296	CDC42BPB	NA	NA	NA
Adipose	M721	37	5	M296	AGPAT1	NA	NA	NA
Adipose	M722	48	5	M296	MTA1,LENG8	NA	NA	NA
Adipose	M724	27	5	M296	SSBP3,LOC646674	REGULATION_OF_PROTEIN_EXPORT_FROM_NUCLEUS	NA	NA
Adipose	M725	12	5	M296	KCNIP2	NA	NA	NA
Adipose	M727	25	5	M297	PKM2,RAB5C	PROTEIN_HETEROTRIMERIZATION	0.00294565239918421	NA
Adipose	M728	24	5	M298	ATN1,PTMS,PNPLA2	NA	NA	NA
Adipose	M731	59	5	M299	ACIN1,WASF2,CENPT,VAT1	DNA_BIOSYNTHETIC_PROCESS	NA	NA
Adipose	M732	38	5	M299	SUPT5H,NFE2L1,MIB2	NA	NA	NA
Adipose	M733	30	5	M300	INF2	PROTEIN_LOCALIZATION_TO_PHAGOPHORE_ASSEMBLY_SITE	NA	NA
Adipose	M734	105	5	M300	USP5,ZNF219,ITPK1,IRAK1,SPTAN1	NA	NA	NA
Adipose	M735	17	5	M300	MATR3	NA	NA	NA
Adipose	M736	107	5	M301	ZNF580,CRTC2,RAMP2,NFIX,GDI1	POSITIVE_REGULATION_OF_MULTI_ORGANISM_PROCESS	NA	NA
Adipose	M738	33	5	M302	NCOR2	NA	NA	NA
Adipose	M740	11	5	M302	SETD1A,CCNK	NA	NA	NA
Adipose	M741	18	5	M302	RGL2,NYNRIN	NA	NA	NA
Adipose	M744	88	5	M306	UBA1,UBE1,TMEM184B	NA	NA	NA
Adipose	M745	26	5	M306	TMEM109,LTBP3,LOC283267	HEART_VALVE_DEVELOPMENT	NA	NA
Adipose	M746	22	5	M306	USF2,DHX30	NA	NA	NA
Adipose	M747	12	5	M306	UBR4	NA	NA	NA
Adipose	M748	11	5	M306	APBB1IP	NA	NA	NA
Adipose	M751	12	5	M307	DENND4B	NA	NA	NA
Adipose	M754	21	5	M309	ST6GALNAC6,C1orf66	POSITIVE_REGULATION_OF_INTRACELLULAR_TRANSPORT	NA	NA
Adipose	M755	14	5	M309		NA	NA	NA
Adipose	M758	59	5	M317	RNF126,UBAC2	NA	NA	NA
Adipose	M759	93	5	M322	C7orf27,LRRC41,RANGAP1,TP53I13,E4F1	NA	NA	NA
Adipose	M762	256	5	M325	SPSB3,SAFB,RXRB,CTDSP2,FOXJ2,TJAP1,VPS16,EMD,SLC25A28,TCF25,ULK1,PRR14,HPS6	NA	NA	0.00215428361528743
Adipose	M766	13	5	M333	BCL7B	NA	NA	NA
Adipose	M768	37	5	M336	FAM39E	NA	NA	NA
Adipose	M770	74	5	M352	GAK,SGSM2,ASCC2,TRABD	NA	NA	NA
Adipose	M780	42	5	M381	LOC642377,LOC646508,GPR175	NA	NA	NA
Adipose	M782	49	5	M382	LOC653635	PEPTIDE_CROSS_LINKING	NA	NA
Adipose	M787	105	5	M389	CNN1,RPESP,KCNMB1,CSRP1	MUSCLE_SYSTEM_PROCESS	NA	NA
Adipose	M790	24	5	M390	TPM2,ACTA2	MUSCLE_FILAMENT_SLIDING	NA	NA
Adipose	M791	14	5	M392	FHL5	NA	NA	NA
Adipose	M802	11	5	M404	MSL3L1	NA	NA	NA
Adipose	M807	11	5	M405	TNRC6B,LOC440345	NA	NA	NA
Adipose	M812	10	5	M409	ZNF148	NA	NA	NA
Adipose	M813	23	5	M422	PCYOX1,ANKRD36B	NA	NA	NA
Adipose	M814	14	5	M422	CUEDC1	NA	NA	NA
Adipose	M815	20	5	M422	DFFA	NA	NA	NA
Adipose	M816	15	5	M423	RNF115	NA	NA	NA
Adipose	M817	57	5	M423	PAPD5	NA	NA	NA
Adipose	M820	11	5	M424	PLA2G16	NA	NA	NA
Adipose	M825	26	5	M434	CAND1	NA	NA	0.0247961514079416
Adipose	M826	36	5	M434	MARCH7	NA	NA	NA
Adipose	M828	23	5	M436	PTK2	NA	NA	0.00217737882661923
Adipose	M829	135	5	M438	SLBP,VPS26,NAT13,HIF1A,RAP1B	NA	NA	NA
Adipose	M830	13	5	M438	AGFG1,RELL1	NA	NA	NA
Adipose	M833	102	5	M440	LOC729009,FTHL3,FTHL8,FTHL2,FTHL12,FTHL11	SISTER_CHROMATID_COHESION	NA	NA
Adipose	M834	29	5	M440	TMSL3	POSITIVE_REGULATION_OF_UBIQUITIN_DEPENDENT_PROTEIN_CATABOLIC_PROCESS	NA	0.00924856687914904
Adipose	M835	278	5	M443	MCTS1,UTP3,FAM162A,NARS,CLTC,MRPL15,TXNDC9,CCNH,C18orf32,FAM98A,GLRX2,C6orf120,NCOR1,ZNF226	TERMINATION_OF_RNA_POLYMERASE_I_TRANSCRIPTION	NA	NA
Adipose	M840	30	5	M447	FYTTD1	RESPONSE_TO_NITROSATIVE_STRESS	NA	NA
Adipose	M841	38	5	M447	CUL4A,UBE4A	NA	NA	NA
Adipose	M843	86	5	M453	ANXA2P1,EHD2,RPN2	ACTIVATION_OF_CYSTEINE_TYPE_ENDOPEPTIDASE_ACTIVITY	NA	NA
Adipose	M844	16	5	M453	YAP1	NA	NA	NA
Adipose	M845	76	5	M463	SFRS12,ZNF644,AKAP11	NA	NA	NA
Adipose	M848	13	5	M466	PRDX2	NA	NA	NA
Adipose	M851	101	5	M490	LOC100131526,LOC100129599,LOC100131672,LOC100134273,LOC100132547	NA	NA	NA
Adipose	M854	95	5	M491	LOC641848,LOC646527,LOC645231,LOC100131572,LSM6	NA	NA	NA
Adipose	M855	126	5	M491	LOC100134504,RAB33B,LOC649946,NACAP1,LOC100132863	NA	NA	NA
Adipose	M856	112	5	M500	LOC388532,LOC645157,LOC731640,LOC388621,LOC100128936	NA	NA	NA
Adipose	M859	112	5	M501	LOC220433,LOC651202,LOC100129657,LCOR,LOC728060,LOC647673	NA	NA	NA
Adipose	M863	119	5	M503	LOC728973,GMPR2,LOC644907,SAP30L,MRPL10	NA	NA	NA
Adipose	M866	146	5	M513	FLJ43681,LOC100132291,LOC653773,RPS28,LOC647030,LOC642989,LOC729208,LOC645691	NA	NA	NA
Adipose	M870	91	5	M514	DDX17,LOC653658,A2M,FAM116A,SBDSP	NA	NA	NA
Adipose	M872	56	5	M515	LOC387791,PTBP1,SFRS14	REGULATION_OF_CHROMOSOME_ORGANIZATION	NA	NA
Adipose	M873	15	5	M515	C20orf108	NA	NA	NA
Adipose	M874	20	5	M517	LOC652481,LSM4	NA	NA	NA
Adipose	M875	18	5	M517	MRPL20	NA	NA	NA
Adipose	M879	40	5	M535	PKN2,LOC729513,DNAJB14	NA	NA	NA
Adipose	M883	12	5	M573	AQP11	NA	NA	NA
Adipose	M887	15	5	M580	LOC100130980	NA	NA	NA
Adipose	M888	21	5	M580	LOC401537,RPS9	NA	NA	NA
Adipose	M890	10	5	M582	LOC642250	NA	NA	NA
Adipose	M891	39	5	M582	LOC643863	COTRANSLATIONAL_PROTEIN_TARGETING_TO_MEMBRANE	NA	NA
Adipose	M892	10	5	M583	LOC651436	NA	NA	NA
Adipose	M894	14	5	M585	LOC644511	NA	NA	NA
Adipose	M896	14	5	M586	LOC651198	NA	NA	NA
Adipose	M899	39	5	M594	FNDC3A	NA	NA	NA
Adipose	M900	25	5	M594	MEX3C	NA	NA	NA
Adipose	M901	10	5	M594	FCHO2	NA	NA	NA
Adipose	M907	17	5	M611	ZRANB2,SENP7	ORGANELLE_FISSION	NA	NA
Adipose	M908	63	5	M613	UQCRHL,SDHD,UQCRC2,LOC729769	AEROBIC_RESPIRATION	NA	NA
Adipose	M909	36	5	M613	COX7B,ECHDC1	ELECTRON_TRANSPORT_CHAIN	NA	NA
Adipose	M912	20	5	M614	EFEMP1,FHL1	NA	NA	NA
Adipose	M914	62	5	M620	HMBS,TUBG1	TRANSLATIONAL_TERMINATION	NA	NA
Adipose	M918	11	5	M626	RTN3,IDH1	NA	NA	NA
Adipose	M921	16	5	M627	ALDH9A1	NA	NA	NA
Adipose	M924	15	5	M646	CCNC	NA	NA	NA
Adipose	M925	13	5	M646	UBE1DC1	NA	NA	NA
Adipose	M927	74	5	M647	GNG12,MDFIC	NA	NA	NA
Adipose	M930	27	5	M655	UNC84A	CEREBRAL_CORTEX_DEVELOPMENT	NA	NA
Adipose	M932	11	5	M661	CNOT7,PAPD4	NA	NA	NA
Adipose	M943	60	6	M709	LOC100132247,LOC440353,LOC644931,LOC728888	NA	NA	NA
Adipose	M948	25	6	M721	AGPAT1	NA	NA	NA
Adipose	M951	30	6	M722	MTA1	NA	NA	NA
Adipose	M952	13	6	M722		NA	NA	NA
Adipose	M957	11	6	M727	COL6A1	NA	0.0142347290266703	NA
Adipose	M960	23	6	M731	WASF2	SKELETAL_MUSCLE_CELL_PROLIFERATION	NA	NA
Adipose	M961	28	6	M732	SUPT5H,RHOT2,TSC2	NA	NA	NA
Adipose	M962	10	6	M732	NFE2L1	NA	NA	NA
Adipose	M963	94	6	M734	USP5,ZNF219,IRAK1	NA	NA	NA
Adipose	M965	45	6	M744	UBA1	RESPONSE_TO_UV	NA	NA
Adipose	M967	12	6	M744	TMEM184B	NA	NA	NA
Adipose	M970	10	6	M754	C1orf66	NA	NA	NA
Adipose	M972	245	6	M762	SPSB3,SAFB,RXRB,FOXJ2,TJAP1,VPS16,EMD,CTDSP2,TCF25,ULK1,PRR14,HPS6	NA	NA	0.00113131601245719
Adipose	M980	244	6	M835	MCTS1,FAM162A,UTP3,CLTC,MRPL15,TXNDC9,NARS,C18orf32,FAM98A,CCNH,C6orf120,ZNF226	DNA_TEMPLATED_TRANSCRIPTION_TERMINATION	NA	NA
Adipose	M983	13	6	M841	UBE4A,PECI	NA	NA	NA
Adipose	M989	78	6	M851	LOC100131526,LOC100131672,LOC100132547	NA	NA	NA
Adipose	M996	47	6	M908	UQCRHL,UQCRC2,LOC729769	AEROBIC_RESPIRATION	NA	NA
